filename,set,reltype,connspan,conn_raw,conn_utterance_id,x2,x3,conn1,conn2,rs1,rs2,x5,x6,x7,arg1raw,arg1span,arg1_utterance_id,x9,x10,x11,arg2raw,arg2span,arg2_utterance_id,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,incomplete
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,in that case,0,Contingency.Condition.Arg1-as-cond,,,,,Okay then.,4396..4406,ABJ_GWA_02_Market-Food-Church_DG__158,,,,I'll give you my number before we leave here.,4409..4454,ABJ_GWA_02_Market-Food-Church_DG__159,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,that is,0,Expansion.Equivalence,,,,,I'll try.,5017..5026,ABJ_GWA_02_Market-Food-Church_DG__183,,,,I will try to come.,5029..5048,ABJ_GWA_02_Market-Food-Church_DG__184,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,"Auntie, good morning!",0..21,ABJ_GWA_02_Market-Food-Church_DG__1,,,,Good morning!,24..37,ABJ_GWA_02_Market-Food-Church_DG__2,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,Good morning!,24..37,ABJ_GWA_02_Market-Food-Church_DG__2,,,,How are you now?,40..56,ABJ_GWA_02_Market-Food-Church_DG__3,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,How are you now?,40..56,ABJ_GWA_02_Market-Food-Church_DG__3,,,,I'm fine.,59..68,ABJ_GWA_02_Market-Food-Church_DG__4,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,I'm fine.,59..68,ABJ_GWA_02_Market-Food-Church_DG__4,,,,How was your night?,71..90,ABJ_GWA_02_Market-Food-Church_DG__5,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,How was your night?,71..90,ABJ_GWA_02_Market-Food-Church_DG__5,,,,We thank God.,93..106,ABJ_GWA_02_Market-Food-Church_DG__6,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,We thank God.,93..106,ABJ_GWA_02_Market-Food-Church_DG__6,,,,Hope you slept well?,109..129,ABJ_GWA_02_Market-Food-Church_DG__7,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,Hope you slept well?,109..129,ABJ_GWA_02_Market-Food-Church_DG__7,,,,"Ah, my sister, I slept well.",132..160,ABJ_GWA_02_Market-Food-Church_DG__8,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,"Ah, my sister, I slept well.",132..160,ABJ_GWA_02_Market-Food-Church_DG__8,,,,You had electricity in your area last night?,163..207,ABJ_GWA_02_Market-Food-Church_DG__9,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,You had electricity in your area last night?,163..207,ABJ_GWA_02_Market-Food-Church_DG__9,,,,We didn't.,210..220,ABJ_GWA_02_Market-Food-Church_DG__10,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,We didn't.,210..220,ABJ_GWA_02_Market-Food-Church_DG__10,,,,"Ah, what happened now?",223..245,ABJ_GWA_02_Market-Food-Church_DG__11,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,"Ah, what happened now?",223..245,ABJ_GWA_02_Market-Food-Church_DG__11,,,,It's NEPA.,248..258,ABJ_GWA_02_Market-Food-Church_DG__12,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,It's NEPA.,248..258,ABJ_GWA_02_Market-Food-Church_DG__12,,,,"Aha, these people, I heard that they share the light.",261..314,ABJ_GWA_02_Market-Food-Church_DG__13,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,"Aha, these people, I heard that they share the light.",261..314,ABJ_GWA_02_Market-Food-Church_DG__13,,,,"My sister, it's tiring.",317..340,ABJ_GWA_02_Market-Food-Church_DG__14,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,"My sister, it's tiring.",317..340,ABJ_GWA_02_Market-Food-Church_DG__14,,,,Eh!,343..346,ABJ_GWA_02_Market-Food-Church_DG__15,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,Eh!,343..346,ABJ_GWA_02_Market-Food-Church_DG__15,,,,They share it yet they bring overestimated bills.,349..398,ABJ_GWA_02_Market-Food-Church_DG__16,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Explicit,363..366,yet,ABJ_GWA_02_Market-Food-Church_DG__16,Neg,Indet,yet,0,Comparison.Concession.Arg2-as-denier,,,,,They share it,349..362,ABJ_GWA_02_Market-Food-Church_DG__16,Comm,Neg,Indet,they bring overestimated bills,367..397,ABJ_GWA_02_Market-Food-Church_DG__16,Comm,Neg,Indet,,,,,,,363..366,DEFAULT,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Explicit,413..420,In fact,ABJ_GWA_02_Market-Food-Church_DG__18,Neg,Indet,in fact,0,Expansion.Level-of-detail.Arg2-as-detail,,,,,They share it yet they bring overestimated bills,349..397,ABJ_GWA_02_Market-Food-Church_DG__16,Comm,Neg,Indet,that bill is another thing again,422..454,ABJ_GWA_02_Market-Food-Church_DG__18,Comm,Neg,Indet,,,Full Agreement,,,,413..420,DEFAULT,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,They share it yet they bring overestimated bills.,349..398,ABJ_GWA_02_Market-Food-Church_DG__16,,,,Our ah...,401..410,ABJ_GWA_02_Market-Food-Church_DG__17,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,"In fact, that bill is another thing again.",413..455,ABJ_GWA_02_Market-Food-Church_DG__18,,,,"That it is, my sister.",458..480,ABJ_GWA_02_Market-Food-Church_DG__19,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,"That it is, my sister.",458..480,ABJ_GWA_02_Market-Food-Church_DG__19,,,,How much do they... how much... how much did they charge you on the bill?,483..556,ABJ_GWA_02_Market-Food-Church_DG__20,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,How much do they... how much... how much did they charge you on the bill?,483..556,ABJ_GWA_02_Market-Food-Church_DG__20,,,,"Ah, my sister, it's seven thousand.",559..594,ABJ_GWA_02_Market-Food-Church_DG__21,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,"Ah, my sister, it's seven thousand.",559..594,ABJ_GWA_02_Market-Food-Church_DG__21,,,,Jesus!,597..603,ABJ_GWA_02_Market-Food-Church_DG__22,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,because,0,Contingency.Cause+SpeechAct.Reason+SpeechAct,,,,,Jesus!,597..603,ABJ_GWA_02_Market-Food-Church_DG__22,,,,Seven thousand for the light we don't have?,606..649,ABJ_GWA_02_Market-Food-Church_DG__23,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,Seven thousand for the light we don't have?,606..649,ABJ_GWA_02_Market-Food-Church_DG__23,,,,That's right!,652..665,ABJ_GWA_02_Market-Food-Church_DG__24,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,That's right!,652..665,ABJ_GWA_02_Market-Food-Church_DG__24,,,,"Ah, these people... eh, they won't kill someone.",668..716,ABJ_GWA_02_Market-Food-Church_DG__25,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,"Ah, these people... eh, they won't kill someone.",668..716,ABJ_GWA_02_Market-Food-Church_DG__25,,,,My sister.,719..729,ABJ_GWA_02_Market-Food-Church_DG__26,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,My sister.,719..729,ABJ_GWA_02_Market-Food-Church_DG__26,,,,How are you managing?,732..753,ABJ_GWA_02_Market-Food-Church_DG__27,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,and,specifically,Expansion.Conjunction,Expansion.Level-of-detail.Arg2-as-detail,,,,How are you managing?,732..753,ABJ_GWA_02_Market-Food-Church_DG__27,,,,How is your business?,756..777,ABJ_GWA_02_Market-Food-Church_DG__28,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,How is your business?,756..777,ABJ_GWA_02_Market-Food-Church_DG__28,,,,"My sister, I'm managing.",780..804,ABJ_GWA_02_Market-Food-Church_DG__29,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,so,0,Contingency.Cause+SpeechAct.Result+SpeechAct,,,,,"My sister, I'm managing.",780..804,ABJ_GWA_02_Market-Food-Church_DG__29,,,,Thank God.,807..817,ABJ_GWA_02_Market-Food-Church_DG__30,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,Thank God.,807..817,ABJ_GWA_02_Market-Food-Church_DG__30,,,,"Eyah, God will help us.",820..843,ABJ_GWA_02_Market-Food-Church_DG__31,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,"Eyah, God will help us.",820..843,ABJ_GWA_02_Market-Food-Church_DG__31,,,,Amen!,846..851,ABJ_GWA_02_Market-Food-Church_DG__32,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,Amen!,846..851,ABJ_GWA_02_Market-Food-Church_DG__32,,,,There is one...,854..869,ABJ_GWA_02_Market-Food-Church_DG__33,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,0,0,Reformulation,,,,,There is one...,854..869,ABJ_GWA_02_Market-Food-Church_DG__33,,,,There is a kind of dish that Mama Maro taught me.,872..921,ABJ_GWA_02_Market-Food-Church_DG__34,,,,,,,,,,,,,arg1-incomplete
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,plus,0,Expansion.Conjunction,,,,,There is a kind of dish that Mama Maro taught me.,872..921,ABJ_GWA_02_Market-Food-Church_DG__34,,,,The dish is good.,924..941,ABJ_GWA_02_Market-Food-Church_DG__35,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Implicit,,,,,,and,0,Expansion.Conjunction,,,,,The dish is good.,924..941,ABJ_GWA_02_Market-Food-Church_DG__35,,,,I heard that it's an Ibo dish.,944..974,ABJ_GWA_02_Market-Food-Church_DG__36,,,,,,,,,,,,,Null
ABJ_GWA_02_Market-Food-Church_DG.txt,train,Interspeaker,,,,,,0,0,,,,,,I heard that it's an Ibo dish.,944..974,ABJ_GWA_02_Market-Food-Church_DG__36,,,,Uhuh?,977..982,ABJ_GWA_02_Market-Food-Church_DG__37,,,,,,,,,,,,,Null
